created_at,content
2012-02-04T09:38:50,"“@Lars_Kouwenberg: @quincyTHEbom WeetNiet, daar moest je je voor inschrijven”wneer"
2012-02-04T09:38:51,gank* night
2012-02-04T09:38:52,echt honger!
2012-02-04T09:38:54,was vorig jaar echt gezellig !
2012-02-04T09:38:54,Zo met de liefste @Bodinexx14  en @esmeelaanx
2012-02-04T09:38:55,@daan66106 daan jonge ik ben egt lucky. Me mobiel doet et gwn weer!!!!!
2012-02-04T09:38:56,@rosaline162 ja denk het wel
2012-02-04T09:38:58,Heerlijk zo een douch
2012-02-04T09:38:59,Wie gaat er met je door en wie zet het stop?
2012-02-04T09:39:03,Datengenggadatengenggadatengengga-_-
2012-02-04T09:39:03,@dewiNA25 dewi =D
2012-02-04T09:39:07,Net gedoucht nu ff huiswerk maken..
2012-02-04T09:39:07,@xKimxKim Gefeliciteerd !!
2012-02-04T09:39:10,ik heb zin in een laite machiatto. haha @xmicheeelleee met spekjes. ;$
2012-02-04T09:39:13,RT @la_fille_fiona: “@misslipgloss: HELP. Wie rijdt er van Schiphol richting Zwolle? 2 gestrande meisjes willen graag naar huis. RT PLEA ...
2012-02-04T09:39:14,Ik kan je nog steeds niet vertrouwen
2012-02-04T09:39:15,Puyeeeng
2012-02-04T09:39:17,@LotteIngrid kwart voor c1000?!
2012-02-04T09:39:18,RT @HetNJi: Please RT @engelharte: Gezocht: oud-pleegkinderen Voor een onderzoek naar de ervaringen met #pleegzorg en de overgang van pl ...
2012-02-04T09:39:20,"@marvinpiraat weet ik nie, jij dan?"
2012-02-04T09:39:20,@daniquehx. Slecht hhooor haha
2012-02-04T09:39:22,@robertoor Voor jou een vraag voor mij een weet :-p #gewoonaanzijnneusdraaien
2012-02-04T09:39:25,Kwinn is moeilijk op die fifa.
2012-02-04T09:39:27,@xGizzlybear het is warm hier in AMSTERDAM....
2012-02-04T09:39:28,@BryanDarmo Okeee is goed ! dan zie ik je maandag wel :) x x x
2012-02-04T09:39:28,RT @M_Reijntjens: Wegen blijven verraderlijk glad. Strooidiensten rijden niet. StrooIzout werkt niet bij -7 of meer. LET OP ALLE WEGDEKKEN.
2012-02-04T09:39:29,heb wel lekker geslapen
2012-02-04T09:39:33,@2phoneshop die zou ik wel willen winnen! :$
2012-02-04T09:39:36,@Lorenzo_SDM moet ik dan je plek ef inneme? Ik bet derde bevelvoerder want michael is weg
2012-02-04T09:39:37,Weer even 10min in bed. Kangewoon.
2012-02-04T09:39:38,@Sassie_82 dat blijkt wel uit de reacties ;-)
2012-02-04T09:39:41,RT @arahxxx: De zomer mag van mij weer komen
2012-02-04T09:39:42,ik zie er heel ziek uit zonder make-up
2012-02-04T09:39:44,@KevinScholtze goedemorgen! gister was echt geweldig man! echt geweldig haha(: jij ook een goeie vrijdagavond gehad?
2012-02-04T09:39:44,"he wat ben ik toch moeilijk op gang te komen op zaterdagochtend, kom actie nu Heidi!!"
2012-02-04T09:39:44,@lakeslandlord #muchobliged
2012-02-04T09:39:47,Goedemorgen deze mooie witte morgen. Wat een heerlijk winters weertje vandaag #genietervan
2012-02-04T09:39:47,Schaatsen
2012-02-04T09:39:50,@sophieetje13 schaatsbaan bij voetbalveld !
2012-02-04T09:39:52,Iets van zapplive ofzo
2012-02-04T09:39:52,straks even tosti maken dan douchen.
2012-02-04T09:39:53,"Elk River Lanyard 36IN #29023: 1"" x 36""; Nylon Web, Positioning; Zsnaphook on each end http://t.co/jIkKQuqK"
2012-02-04T09:39:53,Datang berkunjung kerumah @FaniZhafirah heboohh (¬_¬͡)
2012-02-04T09:39:54,met @zoekusjex @Meikeexxx @maureenzwart_ in de autooo.
2012-02-04T09:39:54,"ze zitten kort op je fouten, wat je goed doet hoor je niet."
2012-02-04T09:39:54,"Vacaturemogelijkheid: Senior Investment Analyst / Manager Euro bij ING Investment Managemen - Den Haag en omgeving, Nederland #vacatures ht…"
2012-02-04T09:39:56,@rienkvdv @hertogjuan @menno_boonstra @markiepeters8 @rened19922 @rnspinder @westerjosse @sanderbonke ik ben voor drachtstervaart opstappen!
2012-02-04T09:39:57,muziek op zetten
2012-02-04T09:39:57,RT @LachNuMee: retweet als je de 'd' gevonden hebt. -ⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓓⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑⓑ
2012-02-04T09:39:58,"RT @_HOiTiM: Gvd man, k kan niet tweeten - nu moeten wij even met z'n alle gaan zeggen hoe uitermate jammer we dit vinden, toch?"
2012-02-04T09:39:58,Dit is gewoon exht niet grappig meer.. dat ik dit ervoor over heb voor stage..
2012-02-04T09:39:59,Nog twintig en ik heb er honderd bitch . ;)
2012-02-04T09:40:00,@goodfella046 hahaha davyke laat zn goeie kant zien!
2012-02-04T09:40:02,Deze telefoonbis kapot kijk wat hij aan geeft bij weer! http://t.co/pkAU6a3Q
2012-02-04T09:40:03,@IMDAPHNEx heb je al kaartje gekocht?
2012-02-04T09:40:05,(Foto's): Oud op nieuw 2011-2012 #Uitgaan #Venhorst - link: http://t.co/5BJJEaei
2012-02-04T09:40:06,"Jaringan jelek, bete dech  (⌣́,⌣̀)(⌣́_⌣̀)"
2012-02-04T09:40:12,@inmabailaora NOoooo!!!
2012-02-04T09:40:13,"lagu nie muzik dia best laaa , :3"
2012-02-04T09:40:16,"RT @xilse__: die tijden die ik met @xMarenthe heb , heb ik met NIEMAND anders ♥♥ #fruitshoot ."
2012-02-04T09:40:17,"RT @Topradio_Aalter: Schaatsen, op de Kraenepoel is toegelaten ! http://t.co/PMhO95iH via @Topradio Aalter"
2012-02-04T09:40:17,"RT @RomyJonker: Bij problemen, groot of klein, zal ik er altijd voor je zijn"
2012-02-04T09:40:20,@messica_jessica &lt;3 u Xxxxx
2012-02-04T09:40:24,Straks sleeeenn op de bavelsebergg met dushi's
2012-02-04T09:40:26,Ht voelt niet eens zo
2012-02-04T09:40:27,RT @Lloydisdope: RT @aYoungstarr: Jammer dat het weer eens zo moet gaan.
2012-02-04T09:40:30,GEFELICITEERD ♥ - @xYOUSSTORY @jordalinelovesx @_APPiiiE @Uiltjee !
2012-02-04T09:40:30,@gnispen nieuws is toch gratis? En columnisten moeten mij betalen dat ik ze lees :-)
2012-02-04T09:40:31,"""@aapjee_x: Warmm!"" Niet buitenn!"
2012-02-04T09:40:32,Hihi me bedje ligt zo lekker :$ http://t.co/Vm01ugOs
2012-02-04T09:40:32,Thee en een broodje ei make  #ontbijt
2012-02-04T09:40:32,@Feyenoord_Mike half twee inschrijvwn
2012-02-04T09:40:35,RT @LEVENNSGENIETER: Ik ga zo ook maar ff wat eten
2012-02-04T09:40:36,@KleineOpDonderx niet !!
2012-02-04T09:40:36,ik ga niet naa benede want hoor dt iedreen chaggrijnig is -_-
2012-02-04T09:40:37,RT @lottedevisser1: RT @xestheeerx iedereen gaat schaatsen vandaag & ik lig in bed..
2012-02-04T09:40:38,"@Xx_BeauuXx als je gevraagd word door een leraar moet je komen, dus hoe dat dagje vrij, zoals ik niet deed dus (:"
2012-02-04T09:40:39,@nezasyafana kenapa zaaa ?
2012-02-04T09:40:41,@simone_maas meid hoelaat gaan we naar bouwe? Wand we gaan gingen toch om kwart over 11?
2012-02-04T09:40:42,Bijna 600 tweets.
2012-02-04T09:40:44,Ketiga -&gt;RT @andhikadsantosa: ji dong wonRT @Kuis_Sepakbolaa: 1. _ _ || _ _ N _ || _ O _ *Sunderland #Kuis
2012-02-04T09:40:44,gisteravond geschaast op een sloot qqq.
2012-02-04T09:40:45,RT @xfiliz: RT @RowdyR_: RT @RUBEN_OTTEN: RT @aYoungstarr: Jammer dat mooie dingen een einde kennen.
2012-02-04T09:40:46,Ik voel me héérlijk. Ahum.
2012-02-04T09:40:47,Toen zei mijn haar 'kaboom'
2012-02-04T09:40:47,Er wordt een binnenbrand in en woning langs de Graafdijk West in Molenaarsgraaf gemeld. Brandweer met spoed onderweg.
2012-02-04T09:40:48,@Stolliii ja ik ga schaatsen :)
2012-02-04T09:40:52,Moghe... Gelukkig niet voetballen vandaag. Lekker rustig aan doen en chillen op me verjaardag. #GOUD
2012-02-04T09:40:52,Dus nu hoor ik dat ik de hele middag drumles moet geven.. #bestnice ;D
2012-02-04T09:40:54,ga maar eens omkleden..
2012-02-04T09:40:54,RT @lolsunkist: Big wheel keep on turning. Ooo proud mary keep on burning.
2012-02-04T09:40:58,Voor alle reisliefhebbers: http://t.co/zyh2Apwm
2012-02-04T09:41:03,ME SOMEDAY BINNEN=D. RUIKT ZO LEKKER =)
2012-02-04T09:41:04,"‎​Uϑªh kk..oke kk d coba PING!!@monikanerizia: Udah dek ? Coba ping kk RT ""@triana_putry: ‎​Uϑªh kk..hehe lama bru nerima.."
2012-02-04T09:41:04,"@wouwtje2  goedemorgen heer Van de Wouw, veel plezier met het lezen van de krant! Hartelijke groet & fijn weekeinde!"
2012-02-04T09:41:07,Maar is gaan douche
2012-02-04T09:41:12,@zaynmalik wish me good luck in the exams in doing in school Zayn? :) xx
2012-02-04T09:41:13,#Avatar kijken met Duco. #dievandeblauwemensen
2012-02-04T09:41:15,Zo uit bedje douchen ens
2012-02-04T09:41:15,@swaggergirlemmy ik denk ik vandaag deheledag lopen ik ga niet opde fiets
2012-02-04T09:41:17,すっぴんだったSeventeenデイズｗｗｗｗｗｗｗ
2012-02-04T09:41:20,@LindevdBurgh inderdaad prachtig!
2012-02-04T09:41:22,@xx_iris_x gefeliciteerd
2012-02-04T09:41:23,"RT @ralphske: “@Mswinkelss: Waakker mer @AndyVanBree en @ralphske” ik ben Ben nie eens bij jou :s""neenee http://t.co/Cv2E0sTF"
2012-02-04T09:41:23,Ik droomde vannacht dat we een vos in de huiskamer hadden en een kat met hele grote ogen.
2012-02-04T09:41:24,“@eviiix_: @kusssxromy jy bent nergens bang voor..” films zijn niet eng
2012-02-04T09:41:25,@L1nda_M Jaaaaa! Je bent een schat!
2012-02-04T09:41:33,RT @Ghyslaynesyk_: RT @HaMoedi079: RT @Maikeyy_079: RT @OGCJM_: RT @HaMoedi079: Waneer je veel verwacht endan op het laatste moment alle ...
2012-02-04T09:41:34,"@Stijn_Devos @s_pollet garmin komt met zelfde op de markt in maart - ook met looks, price delta even afwachten"
2012-02-04T09:41:35,Lekker even n warm bad nemen :)
2012-02-04T09:41:35,"RT @romylovex: Nu douchen, straks emmen met @RoosVervoort en tonight bras :)"
2012-02-04T09:41:36,Zusjes gaan schaatsen en  lig nog lekker in me bed
2012-02-04T09:41:36,RT @xMADEMOISELLE__: * rekt zich uit * hmpf kutnacht..
2012-02-04T09:41:39,Ben net wakker en nu al op de haattour
2012-02-04T09:41:41,"pffff, ben wakker & heb weer fucking slecht geslapen.."
2012-02-04T09:41:41,@maimai_0325 つらすぎやろ(笑)黒染め？(TOT)
2012-02-04T09:41:43,"Ik graaf, jij graaft, wij graven. Hij graaft, zij graaft, jullie graven. het is geen goed gedicht, maar het is wel DIEPzinnig!"
2012-02-04T09:41:43,; k word wakker en maak me gordijnen open en ik zie een mooie uitzicht .. http://t.co/VjDWp1RS
2012-02-04T09:41:43,omg dit weer maakt me blij! =)
2012-02-04T09:41:47,RT @wateenmeisjewil: #wateenmeisjewil een ontbijt op bed
2012-02-04T09:41:48,@patrickspoelie. Hoe doen we dt vnv nu dn
2012-02-04T09:41:48,@_Lisaax13 Teun van veldhoven
2012-02-04T09:41:49,"@heinsehb hihi, goeiemorgen lieverd!"
2012-02-04T09:41:51,RT @CharlotteeBrian: facking slecht geslapen =S
2012-02-04T09:41:51,Mn bedje maar weer uit.. Kan toch niet meer slapen en heb honger
2012-02-04T09:41:53,Lekker met bass in de sneeuw gewandeld:)
2012-02-04T09:41:53,RT @HumbertoTan: Kou kan ook inspirerend zijn...#winter http://t.co/qYBGzT8Y
2012-02-04T09:41:55,@loiisx_ haha jaa maar had ook een tijdje een twitstop hoor
2012-02-04T09:41:56,En dan zeg je dat je NIET egoïstisch bent en dat je GEEN krauw bent #VoelJeAangesprokenn
2012-02-04T09:41:57,"RT @xOneandOnly_: RT @OkeShan: Stel je bent een boy en je hebt mijn ogen, #jekanallesmakeninhetleven - ... http://t.co/3JzznXWN"
2012-02-04T09:41:58,Dateng riiiinnnn :) RT @ArindaRestya: @putputrii sama..sama.. Poet.. Smoga langgeng..
2012-02-04T09:41:58,#demuzikantenbank Succesvolle coverband zoekt frontman: Voor een coverband met goed gevulde agenda zoeken we een... http://t.co/3IagdvVu
2012-02-04T09:42:00,@frank0311vdl hahah ik ben nog niet begonnen
2012-02-04T09:42:00,@TWesseling waar ga jij schaatsen??
2012-02-04T09:42:00,@LindevdH kijk je oude aflevering?
2012-02-04T09:42:01,Hoofdpijn joh.
2012-02-04T09:42:02,Ik luister nu naar de meest depressieve omroepstem in een trein die ik in mijn hele leven heb gehoord. De volgende vertraging is zelfmoord.
2012-02-04T09:42:04,RT @wa_Zwolle01: Heeft u zich al aangemeld voor Burgernet? #Dieze http://t.co/dD6WCtcq
2012-02-04T09:42:11,De buren zijn weer bezig met de verbouwing..
2012-02-04T09:42:11,"@Peet206 okee bedankt, zal ik doen!"
2012-02-04T09:42:14,echte vrienden doen hetzelde voor mij voor wat oik voor hun deed. {hoest}
2012-02-04T09:42:15,“@bammjongex: @xJobBorgerx eendracht- watdan?” nee gewoon misschien ga ik nog wel$
2012-02-04T09:42:15,RT @Romilyshoes: @w_innen deze actie is allang verlopen. Nu actie met waardebon twv €100 te besteden bij http://t.co/BF7E5CLZ
2012-02-04T09:42:16,benieuwd wie er van @vvrenado spierpijn heeft na de pittige boks training van gister
2012-02-04T09:42:17,hilarisch jij in dat sterrenpak bij #zepplive @JamaiLoman
2012-02-04T09:42:18,"... Ajo ndjente nevojën për t'i derdhur valët e zemrës në një zemër mike, ndjente nevojën për t'i mbytur brengat e saj duke mërmëritur..."
2012-02-04T09:42:18,#p2000 #Rotterdam 04-02-12 10:41:26 - PRIO 2 TS231 Westzeedijk 90 Rotterdam Hulpverlening Vak: 5991810 - http://www.p2000zhz-rr....
2012-02-04T09:42:20,@xx__elisee en ik vind jou echt lesbie :$
2012-02-04T09:42:21,2-0 voor in de rust haha
2012-02-04T09:42:24,RT @FishingChef08: Goede morgen deze morgen
2012-02-04T09:42:24,Dit en me iPod schermpje zie ik nu xd http://t.co/3ZSAxeKd
2012-02-04T09:42:27,Aan toetsen enzo natuurlijk
2012-02-04T09:42:29,werken van 13:00 tot 15:00!! daarna naar Apeldoorn!!
2012-02-04T09:42:30,Ik vind sneeuw best leuk hoor.
2012-02-04T09:42:32,Pc aandoen & gtst terugkyken.
2012-02-04T09:42:37,"RT @DanielEmanuels: Ik haat het wanneer ik met iemand ben, en we dan zijn/haar vrienden tegenkomen en dan gaan ze heel anders doen."
2012-02-04T09:42:42,terlalu kebetulan klo di blng kebetulan -_-
2012-02-04T09:42:43,RT @lorr__: Als ik nie mt je flow/ga spend ik GEEN ENE cent aan je.
2012-02-04T09:42:44,Alle vooroordelen over bouwpakketten zijn waar :-( http://t.co/giEiK72h http://t.co/PO2W6b3I
2012-02-04T09:42:46,"@LIISABAARS  heeii, gaan we nog naar het ijs"
2012-02-04T09:42:47,lekker gegeten
2012-02-04T09:42:49,Oma lijkt haar smak overleefd te hebben - praatjes zat :-)
2012-02-04T09:42:50,@VrielinkArjen haha heb. ik ook
2012-02-04T09:42:51,"Zo mijn bedje maar uit, krijg honger"
2012-02-04T09:42:52,@xveraaaxx jup heb ze gister ingevoerd
2012-02-04T09:42:55,@JurreOvervest wat gaan we doen dan?
2012-02-04T09:42:55,ik heb best wel zin in een sneeuwballen gevecht;)
2012-02-04T09:42:55,"RT @4positiviteit: We zijn dwazen, of we nu dansen of niet. Dus kunnen we beter dansen. #JapanseSpreuk"
2012-02-04T09:42:55,@xGwenniee wacht omkleden brb tipje doe 2 sokken aan :3
2012-02-04T09:42:56,eindelijk thuis van werk #gareochtend
2012-02-04T09:42:57,Werken en het koud hebben
2012-02-04T09:42:58,RT @_RubenM: Spring voor een trein YOLO
2012-02-04T09:42:58,@wouterkleijer En dan zie je rechts de Most Popular Files. Staat ie als 3e.
2012-02-04T09:43:00,RT @RTV_Rijnmond: Koudste nacht in halve eeuw: Rotterdam ging zaterdag gebukt onder de koudste nacht sinds 1963. De thermometer op... ht ...
2012-02-04T09:43:01,@xbijdehandjex hahaha dat lijkt me echt kutt
2012-02-04T09:43:02,Gister opleding #Bewustzijnscoaching afgerond @Ericarijnsburge #Elenchis. Het was een bijzonder leerzaam jaar!
2012-02-04T09:43:02,"@Diannvtx wellandd, haha ,dan moest je waarschijnlijk tegen iemand die 8 jaar by mij in klas heeft gezetenn :) x"
2012-02-04T09:43:05,RT @ikwilgraaag: #Retweetje: RT als er bij jou nog sneeuw ligt.
2012-02-04T09:43:06,dussss ik ben al 2 uur wakker maar heb nog geen stap gezet
2012-02-04T09:43:06,"Zozo doe je goed, nu allweer een ander."
2012-02-04T09:43:06,Wajoo ik ga gwn voor 11 uur 1000 tweets halen!
2012-02-04T09:43:09,Zo naar beneden
2012-02-04T09:43:10,"@MargotFleur precies, op mijn eerste verjaardag was de laatste elfstedentocht"
2012-02-04T09:43:11,@xSkittens JA DAAR ZATEN WIJ en mn moeder zat in de starbucks en we zaten in een eng gedeelte van engeland ofzo.
2012-02-04T09:43:15,nog steeds in me bed #lui
2012-02-04T09:43:16,In de ochtend moet je me echt niet wakker maken om dingen te gaan doen ofzo
2012-02-04T09:43:17,@Mooholy deze is leuker: in het zwembad met mn waterpijp en een bitch die me lekker onder water pijpt.
2012-02-04T09:43:18,Straks rii stal #brr nu al #geenzin in die #kou
2012-02-04T09:43:19,"Gpp, belajar jadi ibu tiri ~(˘▽˘~) (~˘▽˘)~ :DRT @Chang9food: iisss,,najong bgt!!! jahaaat RT ucisyamsuri (cont) http://t.co/MtdZDDMO"
2012-02-04T09:43:25,"@Saskiabreezyx dus ik zou niet gaan, haha:P"
2012-02-04T09:43:27,@SQooby_Doo 12 uur denk ik... Ben trouwens met de benenwagen.. Durfde niet te fietsen vanmorgen.. :-((
2012-02-04T09:43:27,@_roza14_ haha euhmjaah vanmiddag k zit nu nog in pyama ;$ k ben dr ong 2uur denk(ll')loveya
2012-02-04T09:43:28,"Haring gekocht op de markt, broodjes in de oven, eitjes gekookt. Ontbijt kan starten @jikkemarek #genieten"
2012-02-04T09:43:29,Mijn broer kan ook goed spelen wauw.
2012-02-04T09:43:30,@jurrefeye ja weet ik toch niet iedergeval na vieren
2012-02-04T09:43:33,RT @raybasie: @HarryHoroz gefeliciteerd!!
2012-02-04T09:43:33,"@AbsolutelyMrsK @jonasdeweer droogkuis zou een moment ""bevriezen"" heb ik van mih gehoord, dus als er een moment is dat je'm heel mooi vindt"
2012-02-04T09:43:39,Zometeen naar stad en dan b-day nichtjeee
2012-02-04T09:43:42,Sophie heeft lichte schouderblessure. Gaat een paar dagen duren. De Duitsers moeten dus tactisch aangepakt worden. #btmvg
2012-02-04T09:43:42,"""@tamazigtt: @_LMV je heb zker over Mij en ..... Gedroomt daarom heb jezo leker geslapen wuahhahh !!!!"" - whahah jaaa, en jij zeker ook ?"
2012-02-04T09:43:43,"Tubantia: Met een temperatuur van -22,9 in Lelystad heeft Winterswijk niet langer het kouderecord van -27,4 uit1942 op zijn naam staan!"
2012-02-04T09:43:43,Waarom volgt een enge chinees mij ..
2012-02-04T09:43:43,我都很害怕手机的简讯! 害怕其中一封是你的答案! T&gt;T
2012-02-04T09:43:48,@_NiiCKYx  @xKusArinti  dat is nou een echte vriendin xx
2012-02-04T09:43:49,Uit bed bu.
2012-02-04T09:43:49,Straks naar mn schatje @anoukjex♥
2012-02-04T09:43:50,#Japan Life을 방금 시작 했어요! 함께 즐겨요!bit.ly/jpnlife_start
2012-02-04T09:43:55,RT @Dynamite036: altijd moet iedereen zo lang doen in de badkamer
2012-02-04T09:43:57,eventjes allemaal oude liedjes luisteren
2012-02-04T09:43:57,Ikhaatdiekleineklokje :s diezwarte
2012-02-04T09:43:58,"@Just_Ann3 jah, kga zo ook ff wat pakken, eerst een beetje opfrissen XD"
2012-02-04T09:43:59,@_TeamVieze adidas met zo zwart bolletje er op
2012-02-04T09:44:01,"2 babysit 4 children is nie pap n vleis,,tjo ekare keya hlanya:(nxa!"
2012-02-04T09:44:01,RT @Sara_Maher_Ali: عارفين يعنى ايه مشرحة زينهم :يعنى تروح تلاقى اخوك مضروب بالنار او مرمى من استاد ولما تطلب منهم تقرير يثبت الحالة تاخ ...
2012-02-04T09:44:01,@tomstruik met wie dan ??
2012-02-04T09:44:04,"Federale regering wil 3 miljoen euro recupereren bij liftenbouwers: 
De federale regering wil langs de rechtbank... http://t.co/mSxno8Yj"
2012-02-04T09:44:05,@ErikHulsman kut je heb gelijk sta ik mooi voor blok haha
2012-02-04T09:44:07,Kijken•
2012-02-04T09:44:09,"RT @HEYITSEVYx RT @Alec_Bell: RT @hetisceline: een winterslaap houden, dat zou ik wel willen"
2012-02-04T09:44:09,@aanouk1995 heel veel succes meid miss kom k eerder dan kan k ff na je kijken schatje x
2012-02-04T09:44:10,Vanmiddag shoppen met lief @Fleurokp :)
2012-02-04T09:44:10,RT @iedjee_: RT @xChevainy: Der is echt iets miss in vahid ze hoofd :s - Ik heb een ziekte &lt;/3. - owh..
2012-02-04T09:44:13,Ik voer altijd gesprekken via twitter terwijl het ook via whapp kan
2012-02-04T09:44:15,Mag ik alsjeblieft lente of zomer...? Please...? #durftevragen
2012-02-04T09:44:16,"Bij ons op de sloot aan onze thuis ken je ook staan haha, komen nou allemaal mensjes schaatsent voor bij sta je dn in je pyama -,-"
2012-02-04T09:44:17,"Ayolah RT @anggasiijarjit: azzz RT: @andrecupidda: Benturin ke bahuku aja @AnGgaSiiJarjit: kleee,, pengen benturin ne kepala aja trus,,"
2012-02-04T09:44:19,@HefWandie oke met wie rij je mee dan?
2012-02-04T09:44:20,@RastriH besok pagi. Hehe
2012-02-04T09:44:21,RT @AlishaIM_: RT @ILOVEERD_: Ben echt vroeg wakker
2012-02-04T09:44:21,Krijg zo me oplaadbare batterij binnen :D
2012-02-04T09:44:23,Sleep tight tweeters!&lt;3
2012-02-04T09:44:23,"@SHRND ja echt hoor, bahh"
2012-02-04T09:44:25,Op zoek naar de verbanddoos dan maar ;(
2012-02-04T09:44:25,RT @myravankleef: “@ewaaReinxb: Ik ben bueno verslaafd..”
2012-02-04T09:44:26,Ik ga f douche!
2012-02-04T09:44:27,krist ik ben ook heel vaak alleen thuis
2012-02-04T09:44:32,"@[163086113791098:4:Regine Velasquez-Alcasid & Ogie Alcasid  ""Mr. & Mrs. A""] EDSA Kalayaan Billboard
@[40754751250:274:Bench/ lifestyle + clothing]"
2012-02-04T09:44:32,"YEAH, mama brengt me weg! #lieeeef"
2012-02-04T09:44:33,@tempar_gold @jogjogonsen そのパターンですね(ToT)ありですな。。(ToT)。。
2012-02-04T09:44:34,@JaniraJamilla en de scholen
2012-02-04T09:44:36,RT @loveJadely: Ik eet lekker stampot / in de ochtend? =S
2012-02-04T09:44:36,RT @xRilaan: RT @QuincyBeatszz_: RT @xRilaan: RT @SshaniceM: RT @xRilaan: New ava =). ÷ wauw ♥__♡ » thankyou &lt;3. • Geeen danl hihi
2012-02-04T09:44:38,@Borisbreek schaatsen schaatsen schaatsen
2012-02-04T09:44:38,"""@suus516: && nog steeds in bedje met mijn BFffje @xhildekroeze loveeuu!!""Maar ik ga je verlaten :( ik ga doucheeeeen #loveuuu"
2012-02-04T09:44:39,RT @MrMatt__: RT @illestdreamer: RT @BarisCT: @illestdreamer hoelaat? • 11.00 • 12 uur hoor? • Ik moet 11 u. Challe
2012-02-04T09:44:42,@El_ine Leuk!!! Jullie hebben duidelijk je momentje genomen. :-)
2012-02-04T09:44:43,"ああああっ、Ver2,01もダメか。なんか対策考えよう"
2012-02-04T09:44:46,"@ymkeeex ja he, wauw &lt;3_&lt;3"
2012-02-04T09:44:47,@Diedevanbeek Hij wil het toch niet helemaal kort laten knippen? Dit haar staat hem zo leuk!
2012-02-04T09:44:59,Over lands besneeuwde wegen http://t.co/MJtupjxD
2012-02-04T09:45:02,Je zou maar gemeente gap zijn in dit weer..
2012-02-04T09:45:02,RT @yse_bass: まじで山崎パン出してくれないかなー #nichijou  http://t.co/RMBzq39a
